family,condition,seed,train_eps,rob_lam,eps,n_inputs,subset_accuracy_clean,subset_accuracy_adv,subset_misclassification_adv,attack_success_rate,n_clean_correct,subset_ece_clean,subset_ece_adv,mean_mutual_information_clean,mean_mutual_information_adv,mean_mutual_information_delta,delta_mutual_information_attack_success,delta_mutual_information_attack_failed,delta_mutual_information_success_gap,mean_one_minus_confidence_clean,mean_one_minus_confidence_adv,mean_one_minus_confidence_delta,delta_one_minus_confidence_attack_success,delta_one_minus_confidence_attack_failed,delta_one_minus_confidence_success_gap,n_inputs_cert,mean_p_safe_point,median_p_safe_point,mean_p_safe_optimistic,mean_p_safe_lower,mean_p_safe_upper,mean_interval_width,mean_ci_width,mean_unknown_frac,mean_property_evaluations,mean_net_frac_safe,mean_net_frac_unsafe,p_safe_q05,p_safe_q25,p_safe_q50,p_safe_q75,p_safe_q95,frac_robust_tau0.5,frac_below_tau0.5,frac_inconclusive_tau0.5,frac_robust_tau0.9,frac_below_tau0.9,frac_inconclusive_tau0.9,frac_robust_tau0.95,frac_below_tau0.95,frac_inconclusive_tau0.95
bbb,robust,3,0.08,0.25,0.08,50,1.0,0.9,0.1,0.1,50,0.0034708034992217843,0.06417975306510922,0.00022140976833018706,0.002163025139706125,0.0019416153713759383,0.0039035956375300883,0.0017236175640254767,0.0021799780735046116,0.0034708034992218017,0.0769468915462494,0.07347608804702759,0.27437915802001955,0.051153524716695147,0.2232256333033244,50.0,0.7952903482053455,1.0,0.9001891038984737,0.7322903482053453,0.9087120924042209,0.17642174419887546,0.04503863075960126,0.1051220229286752,117.08,0.86,0.1,0.0,0.9073105852137223,1.0,1.0,1.0,0.8,0.1,0.09999999999999995,0.72,0.1,0.18000000000000002,0.0,0.1,0.9
bbb,robust,3,0.08,0.25,0.1,50,1.0,0.8,0.2,0.2,50,0.0034708034992217843,0.09359624207019804,0.00022140976833018706,0.0035917268459351704,0.0033703170776049835,0.0077172062354293304,0.0022835947881488967,0.005433611447280434,0.0034708034992218017,0.12533218324184417,0.12186137974262237,0.25952968299388884,0.08744430392980576,0.17208537906408308,50.0,0.5721846991802014,1.0,0.8118454664670811,0.5275663856691254,0.8300289527056134,0.3024625670364879,0.04141240372003359,0.24327921834557176,128.9,0.66,0.16,0.0,0.0,1.0,1.0,1.0,0.58,0.18,0.24000000000000005,0.54,0.22,0.23999999999999996,0.0,0.22,0.78
bbb,robust,3,0.08,0.25,0.15,50,1.0,0.44,0.56,0.56,50,0.0034708034992217843,0.32843380391597754,0.00022140976833018706,0.00398001021327218,0.0037586004449419934,0.0026498264211997783,0.0051697673842502675,-0.002519940963050489,0.0034708034992218017,0.2346394020318985,0.23116859853267668,0.264895352934088,0.1882436383854259,0.0766517145486621,,,,,,,,,,,,,,,,,,,,,,,,,,
bbb,robust,4,0.08,0.25,0.01,50,1.0,1.0,0.0,0.0,50,0.0015783452987671032,0.0027408611774444314,6.844073881728693e-05,0.00019049068793789543,0.00012204994912060849,,0.00012204994912060849,,0.00157834529876709,0.002740861177444458,0.001162515878677368,,0.001162515878677368,,50.0,1.0,1.0,1.0,0.9249999999999998,1.0,0.07499999999999997,0.03848335099752875,0.0,94.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
bbb,robust,4,0.08,0.25,0.03,50,1.0,1.0,0.0,0.0,50,0.0015783452987671032,0.011933652162551881,6.844073881728693e-05,0.0006979795741682554,0.0006295388353509684,,0.0006295388353509684,,0.00157834529876709,0.01193365216255188,0.01035530686378479,,0.01035530686378479,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbb,robust,4,0.08,0.25,0.05,50,1.0,0.98,0.02,0.02,50,0.0015783452987671032,0.02678161263465878,6.844073881728693e-05,0.0010265950871462515,0.0009581543483289645,0.01134774461388588,0.0007461218939298438,0.010601622719956036,0.00157834529876709,0.02482505440711975,0.02324670910835266,0.21490883827209473,0.019335237084602823,0.1955736011874919,50.0,0.958082191780822,1.0,0.9786170212765959,0.8860821917808218,0.9815,0.09541780821917804,0.039316947224893345,0.020474509250105917,98.44,0.96,0.02,0.9472602739726028,1.0,1.0,1.0,1.0,0.96,0.02,0.020000000000000035,0.94,0.02,0.04000000000000005,0.0,0.02,0.98
bbb,robust,4,0.08,0.25,0.07,50,1.0,0.94,0.06,0.06,50,0.0015783452987671032,0.05598364472389225,6.844073881728693e-05,0.00235930691528516,0.0022908661764678728,0.011467956200552484,0.0017050944728028976,0.009762861727749586,0.00157834529876709,0.06746801257133483,0.06588966727256775,0.3274957338968913,0.049191407700802416,0.27830432619608886,50.0,0.8333618697162496,1.0,0.9282746939597082,0.7673618697162496,0.9369337899543378,0.16957192023808823,0.047318103464387896,0.0935997176301704,127.02,0.9,0.06,0.0,0.9741379310344828,1.0,1.0,1.0,0.82,0.06,0.12000000000000005,0.74,0.1,0.16,0.0,0.1,0.9
bbb,robust,4,0.08,0.25,0.08,50,1.0,0.9,0.1,0.1,50,0.0015783452987671032,0.07599695801734924,6.844073881728693e-05,0.0021421832606301904,0.0020737425218129036,0.005131102376617491,0.0017340358712790605,0.0033970665053384306,0.00157834529876709,0.07538286328315735,0.07380451798439026,0.2094547152519226,0.05873227384355333,0.15072244140836927,50.0,0.7437013230801096,1.0,0.878520765383779,0.6850833333333333,0.890520765383779,0.2054374320504457,0.04028428011064947,0.13499195947291406,117.96,0.78,0.1,0.0,0.328125,1.0,1.0,1.0,0.74,0.1,0.16,0.74,0.16,0.1,0.0,0.16,0.84
bbb,robust,4,0.08,0.25,0.1,50,1.0,0.78,0.22,0.22,50,0.0015783452987671032,0.14665999710559843,6.844073881728693e-05,0.0023337328954221447,0.002265292156604858,0.005264460192440817,0.0014193729670101002,0.003845087225430717,0.00157834529876709,0.08385163247585296,0.08227328717708587,0.20594505017453973,0.04739150787011171,0.15855354230442803,50.0,0.6309067142617188,1.0,0.8154888310216802,0.5808792251567908,0.8326784861940939,0.25179926103730316,0.04390537362044398,0.18455720326405445,128.44,0.72,0.16,0.0,0.0,1.0,1.0,1.0,0.64,0.2,0.15999999999999998,0.54,0.2,0.25999999999999995,0.0,0.2,0.8
bbb,robust,4,0.08,0.25,0.15,50,1.0,0.5,0.5,0.5,50,0.0015783452987671032,0.289773285984993,6.844073881728693e-05,0.004131923073291546,0.004063482334474258,0.0037458236576522453,0.004381141011296272,-0.0006353173536440266,0.00157834529876709,0.22190755546092988,0.22032921016216278,0.2355546247959137,0.20510379552841188,0.03045082926750181,,,,,,,,,,,,,,,,,,,,,,,,,,
bbb,standard,0,,,0.01,50,1.0,1.0,0.0,0.0,50,0.006954237222671545,0.014626178741455113,0.005887013097252805,0.009687958269680622,0.0038009451724278164,,0.0038009451724278164,,0.006954237222671509,0.014626178741455078,0.00767194151878357,,0.00767194151878357,,50.0,0.9257234886082234,1.0,0.9857051222690382,0.8507234886082233,0.9896780821917808,0.13895459358355744,0.052033247984061406,0.05964353129356006,132.34,0.98,0.02,0.5707191780821919,0.9852064220183486,1.0,1.0,1.0,0.94,0.0,0.06000000000000005,0.78,0.02,0.19999999999999998,0.0,0.02,0.98
