family,seed,eps,train_eps,rob_lam,metric,direction,standard,robust,effect,score,variant,target
bbb,1,0.15,0.08,0.25,accuracy,robust-standard,0.0643,0.4924,0.42810000000000004,,,
bbb,1,0.15,0.08,0.25,nll,standard-robust,6.996593952178955,2.1732263565063477,4.823367595672607,,,
bbb,1,0.15,0.08,0.25,brier,standard-robust,1.759191632270813,0.7835549712181091,0.9756366610527039,,,
bbb,1,0.15,0.08,0.25,ece,standard-robust,0.8839643165707588,0.31558680677115925,0.5683775097995996,,,
bbb,1,0.15,0.08,0.25,ece_adaptive,robust-standard,0.8839643258035182,0.31558676714301104,-0.5683775586605072,,,
bbb,1,0.15,0.08,0.25,mean_predictive_entropy,robust-standard,0.14007724463740823,0.5224449286582223,0.3823676840208141,,,
bbb,1,0.15,0.08,0.25,mean_mutual_information,robust-standard,0.039603870164456136,0.005132852328521999,-0.034471017835934134,,,
bbb,1,0.15,0.08,0.25,mean_confidence,robust-standard,0.9482643349224054,0.8079867999535129,-0.1402775349688925,,,
bbb,2,0.0,0.08,0.25,n,robust-standard,10000.0,10000.0,0.0,,,
bbb,2,0.0,0.08,0.25,mc_samples,robust-standard,50.0,50.0,0.0,,,
bbb,2,0.0,0.08,0.25,accuracy,robust-standard,0.9817,0.9706,-0.011099999999999999,,,
bbb,2,0.0,0.08,0.25,nll,standard-robust,0.05553212761878967,0.12794600427150726,-0.07241387665271759,,,
bbb,2,0.0,0.08,0.25,brier,standard-robust,0.026474449783563614,0.04757630079984665,-0.021101851016283035,,,
bbb,2,0.0,0.08,0.25,ece,standard-robust,0.003654956114292143,0.012537139746546756,-0.008882183632254613,,,
bbb,2,0.0,0.08,0.25,ece_adaptive,robust-standard,0.003142035341262821,0.011804890620708467,0.008662855279445646,,,
bbb,2,0.0,0.08,0.25,mean_predictive_entropy,robust-standard,0.04301209151588332,0.05142757365485702,0.008415482138973703,,,
bbb,2,0.0,0.08,0.25,mean_mutual_information,robust-standard,0.00925861702115641,0.0008568951551507162,-0.008401721866005693,,,
bbb,2,0.0,0.08,0.25,mean_confidence,robust-standard,0.9847059828163834,0.9824041990707963,-0.0023017837455870938,,,
bbb,2,0.01,0.08,0.25,n,robust-standard,10000.0,10000.0,0.0,,,
