family,condition,train_eps,rob_lam,eps,n_seeds_present,metric,mean,sd,se,ci_low,ci_high,n_valid
bbb,robust,0.08,0.25,0.05,5,subset_ece_adv,0.042575070381164565,0.013289679924443654,0.0059433255420540555,0.02607639867642251,0.05907374208590662,5
bbb,robust,0.08,0.25,0.05,5,mean_mutual_information_clean,0.00014632471587246784,6.850703276503291e-05,3.063727643988379e-05,6.127563647535044e-05,0.00023137379526958523,5
bbb,robust,0.08,0.25,0.05,5,mean_mutual_information_adv,0.001566569228740147,0.0003246481740182206,0.00014518707717518445,0.001163529902501835,0.001969608554978459,5
bbb,robust,0.08,0.25,0.05,5,mean_mutual_information_delta,0.0014202445128676789,0.00028235009134892685,0.00012627079954189514,0.0010697167733393778,0.0017707722523959799,5
bbb,robust,0.08,0.25,0.05,5,delta_mutual_information_attack_success,0.012922660525267323,0.0036411082203614427,0.0018205541101807214,0.007129657346672268,0.01871566370386238,4
bbb,robust,0.08,0.25,0.05,5,delta_mutual_information_attack_failed,0.0009202502231590212,0.00043474350250874275,0.00019442320487717983,0.00038053140641997,0.0014599690398980725,5
bbb,robust,0.08,0.25,0.05,5,delta_mutual_information_success_gap,0.012183484822256377,0.0037928770085229285,0.0018964385042614643,0.006149017501696398,0.01821795214281636,4
bbb,robust,0.08,0.25,0.05,5,mean_one_minus_confidence_clean,0.0027091457843780517,0.0008638929700090977,0.00038634468124490586,0.001636652949242193,0.00378163861951391,5
bbb,robust,0.08,0.25,0.05,5,mean_one_minus_confidence_adv,0.032310347080230714,0.007058553236397302,0.003156680971877102,0.02354740070229988,0.04107329345816155,5
bbb,robust,0.08,0.25,0.05,5,mean_one_minus_confidence_delta,0.02960120129585266,0.00672961831814053,0.003009576804398006,0.021246616086843795,0.03795578650486152,5
bbb,robust,0.08,0.25,0.05,5,delta_one_minus_confidence_attack_success,0.22837142149607342,0.047253218028267964,0.023626609014133982,0.1531915516130991,0.30355129137904774,4
bbb,robust,0.08,0.25,0.05,5,delta_one_minus_confidence_attack_failed,0.02106442816258512,0.007940242532110042,0.003550984411926622,0.011206895435076818,0.03092196089009342,5
bbb,robust,0.08,0.25,0.05,5,delta_one_minus_confidence_success_gap,0.21044504047432241,0.04420725871841053,0.022103629359205266,0.14011129185333127,0.28077878909531356,4
bbb,robust,0.08,0.25,0.05,5,n_inputs_cert,50.0,0.0,0.0,50.0,50.0,5
bbb,robust,0.08,0.25,0.05,5,mean_p_safe_point,0.9273285486921437,0.017249475547093187,0.007714199979904148,0.9059139295479297,0.9487431678363576,5
bbb,robust,0.08,0.25,0.05,5,median_p_safe_point,1.0,0.0,0.0,1.0,1.0,5
bbb,robust,0.08,0.25,0.05,5,mean_p_safe_optimistic,0.9567323865506225,0.026668399633934102,0.01192647088652143,0.9236245033696391,0.989840269731606,5
bbb,robust,0.08,0.25,0.05,5,mean_p_safe_lower,0.8570640325631113,0.016314181706979076,0.007295923858817754,0.8368105479310332,0.8773175171951894,5
bbb,robust,0.08,0.25,0.05,5,mean_p_safe_upper,0.961081177390416,0.024837350729752176,0.011107600922545974,0.9302464772294283,0.9919158775514036,5
bbb,robust,0.08,0.25,0.05,5,mean_interval_width,0.1040171448273048,0.022246540062912695,0.009948955168969046,0.07639884527824672,0.13163544437636288,5
bbb,robust,0.08,0.25,0.05,5,mean_ci_width,0.03955520710166282,0.0010533044427813599,0.0004710520670123316,0.038247566563636586,0.04086284763968905,5
bbb,robust,0.08,0.25,0.05,5,mean_unknown_frac,0.02933307783950471,0.023679511642468766,0.01058979954131157,-6.420568717620603e-05,0.05873036136618563,5
bbb,robust,0.08,0.25,0.05,5,mean_property_evaluations,99.76,4.555809478018152,2.0374199370772845,94.10412225467347,105.41587774532654,5
bbb,robust,0.08,0.25,0.05,5,mean_net_frac_safe,0.944,0.008944271909999168,0.004000000000000004,0.932896,0.955104,5
bbb,robust,0.08,0.25,0.05,5,mean_net_frac_unsafe,0.039999999999999994,0.0282842712474619,0.012649110640673518,0.00488606886149031,0.07511393113850967,5
bbb,robust,0.08,0.25,0.05,5,p_safe_q05,0.2094312100706277,0.4130190791026241,0.18470774737556606,-0.3033174966439436,0.722179916785199,5
bbb,robust,0.08,0.25,0.05,5,p_safe_q25,1.0,0.0,0.0,1.0,1.0,5
bbb,robust,0.08,0.25,0.05,5,p_safe_q50,1.0,0.0,0.0,1.0,1.0,5
bbb,robust,0.08,0.25,0.05,5,p_safe_q75,1.0,0.0,0.0,1.0,1.0,5
bbb,robust,0.08,0.25,0.05,5,p_safe_q95,1.0,0.0,0.0,1.0,1.0,5
bbb,robust,0.08,0.25,0.05,5,frac_robust_tau0.5,0.9280000000000002,0.017888543819998284,0.007999999999999985,0.9057920000000002,0.9502080000000002,5
bbb,robust,0.08,0.25,0.05,5,frac_below_tau0.5,0.039999999999999994,0.0282842712474619,0.012649110640673518,0.00488606886149031,0.07511393113850967,5
bbb,robust,0.08,0.25,0.05,5,frac_inconclusive_tau0.5,0.03199999999999998,0.026832815729997468,0.011999999999999995,-0.0013120000000000007,0.06531199999999995,5
bbb,robust,0.08,0.25,0.05,5,frac_robust_tau0.9,0.9120000000000001,0.022803508501982747,0.010198039027185564,0.8836902436605331,0.9403097563394672,5
bbb,robust,0.08,0.25,0.05,5,frac_below_tau0.9,0.048,0.02683281572999748,0.012,0.014688,0.081312,5
bbb,robust,0.08,0.25,0.05,5,frac_inconclusive_tau0.9,0.039999999999999994,0.020000000000000004,0.00894427190999916,0.01517070117784233,0.06482929882215765,5
bbb,robust,0.08,0.25,0.05,5,frac_robust_tau0.95,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.05,5,frac_below_tau0.95,0.048,0.02683281572999748,0.012,0.014688,0.081312,5
bbb,robust,0.08,0.25,0.05,5,frac_inconclusive_tau0.95,0.952,0.026832815729997468,0.011999999999999995,0.918688,0.985312,5
bbb,robust,0.08,0.25,0.07,5,subset_accuracy_clean,1.0,0.0,0.0,1.0,1.0,5
bbb,robust,0.08,0.25,0.07,5,subset_accuracy_adv,0.9199999999999999,0.019999999999999962,0.008944271909999142,0.8951707011778424,0.9448292988221575,5
bbb,robust,0.08,0.25,0.07,5,subset_misclassification_adv,0.07999999999999999,0.020000000000000004,0.00894427190999916,0.05517070117784233,0.10482929882215765,5
bbb,robust,0.08,0.25,0.07,5,attack_success_rate,0.07999999999999999,0.020000000000000004,0.00894427190999916,0.05517070117784233,0.10482929882215765,5
bbb,robust,0.08,0.25,0.07,5,subset_ece_clean,0.0027091457843780474,0.0008638929700091001,0.00038634468124490695,0.0016366529492421857,0.0037816386195139093,5
bbb,robust,0.08,0.25,0.07,5,subset_ece_adv,0.059360353231430074,0.004852966175130624,0.002170312452019845,0.053335565864622986,0.06538514059823716,5
bbb,robust,0.08,0.25,0.07,5,mean_mutual_information_clean,0.00014632471587246784,6.850703276503291e-05,3.063727643988379e-05,6.127563647535044e-05,0.00023137379526958523,5
bbb,robust,0.08,0.25,0.07,5,mean_mutual_information_adv,0.0019838843284432825,0.0006699760443747225,0.000299622395703659,0.0011521325579699252,0.00281563609891664,5
bbb,robust,0.08,0.25,0.07,5,mean_mutual_information_delta,0.0018375596125708147,0.0007312765721222011,0.0003270368251236538,0.0009297053860275518,0.0027454138391140776,5
bbb,robust,0.08,0.25,0.07,5,delta_mutual_information_attack_success,0.008010149787490567,0.006145876983336219,0.0027485197432182253,0.00038025898031677444,0.01564004059466436,5
bbb,robust,0.08,0.25,0.07,5,delta_mutual_information_attack_failed,0.0012598354950173916,0.00042320414517617387,0.0001892626473947229,0.000734442385849641,0.0017852286041851423,5
bbb,robust,0.08,0.25,0.07,5,delta_mutual_information_success_gap,0.006750314292473175,0.006056832416804236,0.0027086978024597223,-0.0007690308071550134,0.014269659392101364,5
bbb,robust,0.08,0.25,0.07,5,mean_one_minus_confidence_clean,0.0027091457843780517,0.0008638929700090977,0.00038634468124490586,0.001636652949242193,0.00378163861951391,5
bbb,robust,0.08,0.25,0.07,5,mean_one_minus_confidence_adv,0.055477907419204706,0.013690811008785289,0.0061227168165492755,0.03848124553646392,0.07247456930194549,5
bbb,robust,0.08,0.25,0.07,5,mean_one_minus_confidence_delta,0.052768761634826654,0.01441070094714752,0.0064446613842484915,0.034878381632152844,0.07065914163750046,5
bbb,robust,0.08,0.25,0.07,5,delta_one_minus_confidence_attack_success,0.23721705238024393,0.1417131169905698,0.06337603257885889,0.06128518594133167,0.41314891881915616,5
bbb,robust,0.08,0.25,0.07,5,delta_one_minus_confidence_attack_failed,0.03527245118152643,0.008747816991849745,0.003912142689700751,0.024412343074917145,0.04613255928813571,5
bbb,robust,0.08,0.25,0.07,5,delta_one_minus_confidence_success_gap,0.20194460119871752,0.14095835266847112,0.06303849171261806,0.026949748204489782,0.3769394541929453,5
bbb,robust,0.08,0.25,0.07,5,n_inputs_cert,50.0,0.0,0.0,50.0,50.0,5
