family,condition,seed,train_eps,rob_lam,eval_split,run_file,eps,n_inputs,mean_p_safe_lower,mean_p_safe_upper,mean_interval_width,frac_p_safe_lower_geq_0p5,mean_p_safe_point,median_p_safe_point,frac_p_safe_point_geq_0p9,mean_unknown_frac,mean_property_evaluations,mean_net_frac_safe,mean_net_frac_unsafe
deterministic,standard,2,,,test,seed2_eps0p08_lam0p25.json,0.05,50,0.0,0.6090273972602739,0.6090273972602739,0.0,0.0,0.0,0.0,0.5775257731958763,100.9,0.0,0.42
deterministic,standard,2,,,test,seed2_eps0p08_lam0p25.json,0.07,50,0.0,0.29699999999999993,0.29699999999999993,0.0,0.0,0.0,0.0,0.23938144329896907,97.82,0.0,0.76
deterministic,standard,2,,,test,seed2_eps0p08_lam0p25.json,0.08,50,0.0,0.24167699115044244,0.24167699115044244,0.0,0.0,0.0,0.0,0.18,97.56,0.0,0.82
deterministic,standard,2,,,test,seed2_eps0p08_lam0p25.json,0.1,50,0.0,0.10308904109589039,0.10308904109589039,0.0,0.0,0.0,0.0,0.030103092783505155,100.9,0.0,0.98
deterministic,robust,2,0.08,0.25,test,seed2_eps0p08_lam0p25.json,0.01,50,0.9249999999999998,1.0,0.07499999999999997,1.0,1.0,1.0,1.0,0.0,94.0,1.0,0.0
deterministic,robust,2,0.08,0.25,test,seed2_eps0p08_lam0p25.json,0.05,50,0.9064999999999998,1.0,0.09349999999999996,0.98,0.98,1.0,0.98,0.02,94.06,0.98,0.0
deterministic,robust,2,0.08,0.25,test,seed2_eps0p08_lam0p25.json,0.07,50,0.8325,0.9815,0.14899999999999997,0.9,0.9,1.0,0.9,0.08,94.3,0.9,0.02
deterministic,robust,2,0.08,0.25,test,seed2_eps0p08_lam0p25.json,0.08,50,0.7955,0.9444999999999999,0.149,0.86,0.86,1.0,0.86,0.08,94.42,0.86,0.06
deterministic,robust,2,0.08,0.25,test,seed2_eps0p08_lam0p25.json,0.1,50,0.6844999999999999,0.9075,0.22299999999999995,0.74,0.74,1.0,0.74,0.16,94.78,0.74,0.08
deterministic,standard,3,,,test,seed3_eps0p08_lam0p25.json,0.01,50,0.9064999999999998,1.0,0.09349999999999996,0.98,0.98,1.0,0.98,0.02,94.06,0.98,0.0
deterministic,standard,3,,,test,seed3_eps0p08_lam0p25.json,0.05,50,0.0,0.5930000000000001,0.5930000000000001,0.0,0.0,0.0,0.0,0.56,97.0,0.0,0.44
deterministic,standard,3,,,test,seed3_eps0p08_lam0p25.json,0.07,50,0.0,0.29699999999999993,0.29699999999999993,0.0,0.0,0.0,0.0,0.24,97.0,0.0,0.76
deterministic,standard,3,,,test,seed3_eps0p08_lam0p25.json,0.08,50,0.0,0.14899999999999997,0.14899999999999997,0.0,0.0,0.0,0.0,0.08,97.0,0.0,0.92
deterministic,standard,3,,,test,seed3_eps0p08_lam0p25.json,0.1,50,0.0,0.09349999999999996,0.09349999999999996,0.0,0.0,0.0,0.0,0.02,97.0,0.0,0.98
deterministic,robust,3,0.08,0.25,test,seed3_eps0p08_lam0p25.json,0.01,50,0.9249999999999998,1.0,0.07499999999999997,1.0,1.0,1.0,1.0,0.0,94.0,1.0,0.0
deterministic,robust,3,0.08,0.25,test,seed3_eps0p08_lam0p25.json,0.05,50,0.8879999999999998,1.0,0.11199999999999996,0.96,0.96,1.0,0.96,0.04,94.12,0.96,0.0
deterministic,robust,3,0.08,0.25,test,seed3_eps0p08_lam0p25.json,0.07,50,0.851,0.9444999999999999,0.09349999999999996,0.92,0.92,1.0,0.92,0.02,94.24,0.92,0.06
deterministic,robust,3,0.08,0.25,test,seed3_eps0p08_lam0p25.json,0.08,50,0.814,0.9259999999999999,0.11199999999999996,0.88,0.88,1.0,0.88,0.04,94.36,0.88,0.08
deterministic,robust,3,0.08,0.25,test,seed3_eps0p08_lam0p25.json,0.1,50,0.6844999999999999,0.9075,0.22299999999999995,0.74,0.74,1.0,0.74,0.16,94.78,0.74,0.1
deterministic,standard,4,,,test,seed4_eps0p08_lam0p25.json,0.01,50,0.9064999999999998,1.0,0.09349999999999996,0.98,0.98,1.0,0.98,0.02,94.06,0.98,0.0
deterministic,standard,4,,,test,seed4_eps0p08_lam0p25.json,0.05,50,0.0,0.5745,0.5745,0.0,0.0,0.0,0.0,0.54,97.0,0.0,0.46
deterministic,standard,4,,,test,seed4_eps0p08_lam0p25.json,0.07,50,0.0,0.33399999999999996,0.33399999999999996,0.0,0.0,0.0,0.0,0.27876288659793813,98.88,0.0,0.72
deterministic,standard,4,,,test,seed4_eps0p08_lam0p25.json,0.08,50,0.0,0.1346780821917808,0.1346780821917808,0.0,0.0,0.0,0.0,0.06474226804123712,100.9,0.0,0.94
deterministic,standard,4,,,test,seed4_eps0p08_lam0p25.json,0.1,50,0.0,0.09349999999999996,0.09349999999999996,0.0,0.0,0.0,0.0,0.02,97.0,0.0,0.98
deterministic,robust,4,0.08,0.25,test,seed4_eps0p08_lam0p25.json,0.01,50,0.9249999999999998,1.0,0.07499999999999997,1.0,1.0,1.0,1.0,0.0,94.0,1.0,0.0
deterministic,robust,4,0.08,0.25,test,seed4_eps0p08_lam0p25.json,0.05,50,0.8694999999999999,1.0,0.13049999999999998,0.94,0.94,1.0,0.94,0.06,94.18,0.94,0.0
deterministic,robust,4,0.08,0.25,test,seed4_eps0p08_lam0p25.json,0.07,50,0.851,0.9314794520547945,0.0804794520547945,0.92,0.92,1.0,0.92,0.005979381443298969,98.14,0.92,0.08
deterministic,robust,4,0.08,0.25,test,seed4_eps0p08_lam0p25.json,0.08,50,0.7954999999999999,0.9259999999999999,0.13049999999999998,0.86,0.86,1.0,0.86,0.06,94.42,0.86,0.08
deterministic,robust,4,0.08,0.25,test,seed4_eps0p08_lam0p25.json,0.1,50,0.7029999999999998,0.889,0.18599999999999994,0.76,0.76,1.0,0.76,0.12,94.72,0.76,0.12
mc_dropout,standard,0,,,test,seed0_eps0p08_lam0p25.json,0.01,50,0.9027522872229065,0.9980972222222222,0.09534493499931566,1.0,0.9777522872229065,1.0,0.9,0.016576864553944762,116.72,1.0,0.0
mc_dropout,standard,0,,,test,seed0_eps0p08_lam0p25.json,0.05,50,0.0,0.6482703622143678,0.6482703622143678,0.0,0.00017699115044247815,0.0,0.0,0.5963178542103822,191.22,0.0,0.3
mc_dropout,standard,0,,,test,seed0_eps0p08_lam0p25.json,0.07,50,0.0,0.3591379518248705,0.3591379518248705,0.0,0.0,0.0,0.0,0.2847422680412371,183.8,0.0,0.64
mc_dropout,standard,0,,,test,seed0_eps0p08_lam0p25.json,0.08,50,0.0,0.24552426913160585,0.24552426913160585,0.0,0.0,0.0,0.0,0.16659793814432988,173.2,0.0,0.76
mc_dropout,standard,0,,,test,seed0_eps0p08_lam0p25.json,0.1,50,0.0,0.11284932417220958,0.11284932417220958,0.0,0.0,0.0,0.0,0.03711340206185567,130.4,0.0,0.92
mc_dropout,robust,0,0.08,0.25,test,seed0_eps0p08_lam0p25.json,0.01,50,0.9213270005757052,0.9993354978354978,0.07800849725979257,1.0,0.9963270005757053,1.0,0.98,0.00018909702847526682,98.78,1.0,0.0
mc_dropout,robust,0,0.08,0.25,test,seed0_eps0p08_lam0p25.json,0.05,50,0.8736795796827024,0.9796301369863013,0.10595055730359886,0.94,0.9486795796827024,1.0,0.9,0.02411432036980097,116.88,0.96,0.0
mc_dropout,robust,0,0.08,0.25,test,seed0_eps0p08_lam0p25.json,0.07,50,0.821012898219476,0.952380021548407,0.1313671233289309,0.88,0.8925414696480475,1.0,0.88,0.049237072906929455,130.3,0.88,0.04
mc_dropout,robust,0,0.08,0.25,test,seed0_eps0p08_lam0p25.json,0.08,50,0.7813548841583838,0.9310180925303696,0.14966320837198574,0.88,0.8507088664592688,1.0,0.74,0.06684019144978122,152.9,0.88,0.1
mc_dropout,robust,0,0.08,0.25,test,seed0_eps0p08_lam0p25.json,0.1,50,0.6256773591304647,0.8883697710882796,0.26269241195781495,0.72,0.6888332731089594,0.9208796764408493,0.54,0.1779206634174971,179.9,0.72,0.12
mc_dropout,standard,1,,,test,seed1_eps0p08_lam0p25.json,0.01,50,0.8808945774553356,0.9928264887052236,0.11193191124988794,0.98,0.9558945774553357,1.0,0.88,0.029192040976351804,125.18,0.98,0.0
mc_dropout,standard,1,,,test,seed1_eps0p08_lam0p25.json,0.05,50,0.0,0.5738921595245957,0.5738921595245957,0.0,0.0,0.0,0.0,0.5152577319587629,197.6,0.0,0.42
mc_dropout,standard,1,,,test,seed1_eps0p08_lam0p25.json,0.07,50,0.0,0.3149648939102688,0.3149648939102688,0.0,0.0,0.0,0.0,0.23505154639175255,184.64,0.0,0.66
mc_dropout,standard,1,,,test,seed1_eps0p08_lam0p25.json,0.08,50,0.0,0.20092636807828504,0.20092636807828504,0.0,0.0,0.0,0.0,0.12618556701030925,167.14,0.0,0.8
mc_dropout,standard,1,,,test,seed1_eps0p08_lam0p25.json,0.1,50,0.0,0.09073043810078066,0.09073043810078066,0.0,0.0,0.0,0.0,0.017113402061855666,119.44,0.0,0.98
mc_dropout,robust,1,0.08,0.25,test,seed1_eps0p08_lam0p25.json,0.01,50,0.923215889464594,1.0,0.07678411053540585,1.0,0.9982158894645942,1.0,1.0,0.0002072538860103627,96.5,1.0,0.0
mc_dropout,robust,1,0.08,0.25,test,seed1_eps0p08_lam0p25.json,0.05,50,0.8682771374920035,0.9788932106789321,0.11061607318692847,0.94,0.9426307960285889,1.0,0.9,0.027889859625411538,118.3,0.96,0.02
mc_dropout,robust,1,0.08,0.25,test,seed1_eps0p08_lam0p25.json,0.07,50,0.813346937172633,0.951288705091755,0.13794176791912205,0.88,0.8853469371726329,1.0,0.86,0.05312083615123461,131.68,0.88,0.04
mc_dropout,robust,1,0.08,0.25,test,seed1_eps0p08_lam0p25.json,0.08,50,0.7749541115201443,0.9234134138386395,0.14845930231849505,0.88,0.8426493496153823,0.9908256880733946,0.72,0.06488526779358673,149.36,0.88,0.08
mc_dropout,robust,1,0.08,0.25,test,seed1_eps0p08_lam0p25.json,0.1,50,0.624804573147324,0.8682926493094086,0.24348807616208468,0.7,0.6849225628941004,0.9606067219554779,0.56,0.15939156414398245,174.74,0.72,0.14
mc_dropout,standard,2,,,test,seed2_eps0p08_lam0p25.json,0.01,50,0.8992531211158042,0.9983345323741006,0.09908141125829642,1.0,0.9742531211158042,1.0,0.92,0.018374259433903913,123.0,1.0,0.0
mc_dropout,standard,2,,,test,seed2_eps0p08_lam0p25.json,0.05,50,0.0,0.5525202442999881,0.5525202442999881,0.0,0.0003539823008849563,0.0,0.0,0.49180914150168775,203.6,0.0,0.44
mc_dropout,standard,2,,,test,seed2_eps0p08_lam0p25.json,0.07,50,0.0,0.3103565333783088,0.3103565333783088,0.0,0.0,0.0,0.0,0.2371134020618557,171.94,0.0,0.68
mc_dropout,standard,2,,,test,seed2_eps0p08_lam0p25.json,0.08,50,0.0,0.2152219814279933,0.2152219814279933,0.0,0.0,0.0,0.0,0.14,167.1,0.0,0.78
mc_dropout,standard,2,,,test,seed2_eps0p08_lam0p25.json,0.1,50,0.0,0.1083366582444717,0.1083366582444717,0.0,0.0,0.0,0.0,0.03505154639175257,125.68,0.0,0.98
mc_dropout,robust,2,0.08,0.25,test,seed2_eps0p08_lam0p25.json,0.01,50,0.9219713102632354,0.9993354978354978,0.07736418757226207,1.0,0.9969713102632357,1.0,0.98,0.00024489795918367346,97.9,1.0,0.0
mc_dropout,robust,2,0.08,0.25,test,seed2_eps0p08_lam0p25.json,0.05,50,0.870269018532081,0.981078343548267,0.11080932501618573,0.94,0.9442167797261111,1.0,0.9,0.029052732420289683,116.24,0.96,0.02
mc_dropout,robust,2,0.08,0.25,test,seed2_eps0p08_lam0p25.json,0.07,50,0.8257804855808715,0.9460117667720408,0.12023128119116926,0.9,0.8962804855808715,1.0,0.9,0.041779886500906915,130.08,0.9,0.04
mc_dropout,robust,2,0.08,0.25,test,seed2_eps0p08_lam0p25.json,0.08,50,0.7890347792139498,0.9335408731484576,0.14450609393450772,0.88,0.858757001436172,0.9908256880733946,0.76,0.06292788854148083,148.34,0.9,0.08
mc_dropout,robust,2,0.08,0.25,test,seed2_eps0p08_lam0p25.json,0.1,50,0.6275058338560934,0.9036592956365632,0.2761534617804699,0.7,0.688627035265864,0.9581112591605596,0.62,0.19294881843363595,172.12,0.72,0.1
mc_dropout,standard,3,,,test,seed3_eps0p08_lam0p25.json,0.01,50,0.899542343483472,0.995461187214612,0.09591884373113986,0.98,0.9745423434834721,1.0,0.92,0.01728395933200372,115.58,1.0,0.0
mc_dropout,standard,3,,,test,seed3_eps0p08_lam0p25.json,0.05,50,0.003910958904109589,0.6523764315139742,0.6484654726098645,0.0,0.005410958904109589,0.0,0.0,0.5908777008897048,208.94,0.02,0.28
