architecture,family,eval_split,training,train_epsilon,rob_lam,config_id,eval_epsilon,subset,score,metric,n_seeds,mean,sd,ci_low,ci_high
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.07,clean_correct,mutual_information,rho_optimistic,5,-0.3154258152733552,0.06969545137439015,-0.4019641480834965,-0.22888748246321394
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.07,all,one_minus_confidence,rho_pessimistic,5,-0.4406033356593584,0.026212569871110685,-0.4731505399687172,-0.4080561313499996
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.07,all,one_minus_confidence,rho_optimistic,5,-0.36902082441043627,0.059321822785244886,-0.4426785960706986,-0.29536305275017394
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.07,clean_correct,one_minus_confidence,rho_pessimistic,5,-0.38290551468678813,0.04785565261013079,-0.44232615564333355,-0.3234848737302427
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.07,clean_correct,one_minus_confidence,rho_optimistic,5,-0.28509502887848653,0.08070175612302288,-0.38529949404826425,-0.18489056370870882
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.07,all,predictive_entropy,rho_pessimistic,5,-0.4334323920896502,0.033080072540380395,-0.47450672722100945,-0.3923580569582909
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.07,all,predictive_entropy,rho_optimistic,5,-0.3606554274461031,0.057472414066459025,-0.4320168548822849,-0.28929400000992134
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.07,clean_correct,predictive_entropy,rho_pessimistic,5,-0.37661361541466126,0.0544061614402137,-0.4441677873554365,-0.30905944347388603
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.07,clean_correct,predictive_entropy,rho_optimistic,5,-0.2782388369803005,0.0758693455718637,-0.3724430719441638,-0.18403460201643718
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.08,all,expected_entropy,rho_pessimistic,5,-0.46822752545166,0.026317126431282666,-0.5009045538775604,-0.43555049702575965
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.08,all,expected_entropy,rho_optimistic,5,-0.348267861394035,0.060635719647579835,-0.4235570514856115,-0.27297867130245845
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.08,clean_correct,expected_entropy,rho_pessimistic,5,-0.4231289259682075,0.035925790002999856,-0.4677366860219611,-0.3785211659144539
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.08,clean_correct,expected_entropy,rho_optimistic,5,-0.26687909295564544,0.06862363437714918,-0.35208658918764973,-0.18167159672364114
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.08,all,mutual_information,rho_pessimistic,5,-0.45340370884743175,0.0943513071198778,-0.5705563300816505,-0.33625108761321304
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.08,all,mutual_information,rho_optimistic,5,-0.3963383242999635,0.07113660264944908,-0.48466608276431095,-0.3080105658356161
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.08,clean_correct,mutual_information,rho_pessimistic,5,-0.3939235512316831,0.11306038664072887,-0.5343065629464739,-0.25354053951689226
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.08,clean_correct,mutual_information,rho_optimistic,5,-0.315069310607934,0.07128224317925747,-0.40357790567482377,-0.22656071554104418
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.08,all,one_minus_confidence,rho_pessimistic,5,-0.4734101705740253,0.02509305706837889,-0.5045673161407038,-0.44225302500734676
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.08,all,one_minus_confidence,rho_optimistic,5,-0.352036549722055,0.06854205136121533,-0.4371427472603094,-0.2669303521838006
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.08,clean_correct,one_minus_confidence,rho_pessimistic,5,-0.4276313666858309,0.03154634271206007,-0.46680132470639357,-0.38846140866526824
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.08,clean_correct,one_minus_confidence,rho_optimistic,5,-0.26770206705458477,0.07980169227299931,-0.36678895534570355,-0.16861517876346602
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.08,all,predictive_entropy,rho_pessimistic,5,-0.46822752545166,0.026317126431282666,-0.5009045538775604,-0.43555049702575965
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.08,all,predictive_entropy,rho_optimistic,5,-0.348267861394035,0.060635719647579835,-0.4235570514856115,-0.27297867130245845
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.08,clean_correct,predictive_entropy,rho_pessimistic,5,-0.4231289259682075,0.035925790002999856,-0.4677366860219611,-0.3785211659144539
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.08,clean_correct,predictive_entropy,rho_optimistic,5,-0.26687909295564544,0.06862363437714918,-0.35208658918764973,-0.18167159672364114
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.1,all,expected_entropy,rho_pessimistic,5,-0.38752105541927717,0.02990804729508717,-0.4246568010021624,-0.35038530983639193
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.1,all,expected_entropy,rho_optimistic,5,-0.40524604660203956,0.08704428791127083,-0.5133258051507477,-0.29716628805333145
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.1,clean_correct,expected_entropy,rho_pessimistic,5,-0.3513120126890663,0.03610898010981243,-0.3961472333032762,-0.3064767920748564
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.1,clean_correct,expected_entropy,rho_optimistic,5,-0.34706449091054686,0.09575410713342135,-0.46595891841826237,-0.22817006340283136
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.1,all,mutual_information,rho_pessimistic,5,-0.38213371904923593,0.08443814028119098,-0.4869775179116698,-0.27728992018680204
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.1,all,mutual_information,rho_optimistic,5,-0.42629332426475797,0.12572171243877972,-0.5823974483925172,-0.2701892001369988
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.1,clean_correct,mutual_information,rho_pessimistic,5,-0.3388312712692146,0.09148870752230272,-0.45242950564185175,-0.22523303689657742
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.1,clean_correct,mutual_information,rho_optimistic,5,-0.360633613419771,0.13982953319850425,-0.5342549106779918,-0.18701231616155026
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.1,all,one_minus_confidence,rho_pessimistic,5,-0.3701500757821757,0.03328237578114689,-0.4114756035643147,-0.3288245480000367
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.1,all,one_minus_confidence,rho_optimistic,5,-0.4097092967401096,0.08809191691892361,-0.5190898585110941,-0.3003287349691251
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.1,clean_correct,one_minus_confidence,rho_pessimistic,5,-0.3312454399988855,0.040035294547477035,-0.3809558238959712,-0.2815350561017998
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.1,clean_correct,one_minus_confidence,rho_optimistic,5,-0.3500837453381493,0.0981789508569098,-0.4719890139985908,-0.2281784766777078
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.1,all,predictive_entropy,rho_pessimistic,5,-0.38752105541927717,0.02990804729508717,-0.4246568010021624,-0.35038530983639193
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.1,all,predictive_entropy,rho_optimistic,5,-0.40524604660203956,0.08704428791127083,-0.5133258051507477,-0.29716628805333145
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.1,clean_correct,predictive_entropy,rho_pessimistic,5,-0.3513120126890663,0.03610898010981243,-0.3961472333032762,-0.3064767920748564
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.1,clean_correct,predictive_entropy,rho_optimistic,5,-0.34706449091054686,0.09575410713342135,-0.46595891841826237,-0.22817006340283136
mlp512x1,bbb,val,standard,,,standard,0.01,all,expected_entropy,rho_pessimistic,5,-0.7367372108435357,0.019922640887278093,-0.7614744367824112,-0.7119999849046602
mlp512x1,bbb,val,standard,,,standard,0.01,all,expected_entropy,rho_optimistic,5,-0.47088698292752174,0.08399879730695754,-0.5751852654359862,-0.3665887004190573
mlp512x1,bbb,val,standard,,,standard,0.01,clean_correct,expected_entropy,rho_pessimistic,5,-0.6996478356733273,0.027943845385862417,-0.7343447024603251,-0.6649509688863295
mlp512x1,bbb,val,standard,,,standard,0.01,clean_correct,expected_entropy,rho_optimistic,4,-0.4065201003020438,0.08418912328532749,-0.5404837824742763,-0.27255641812981124
mlp512x1,bbb,val,standard,,,standard,0.01,all,mutual_information,rho_pessimistic,5,-0.726608713811099,0.02047129880285772,-0.7520271885310793,-0.7011902390911188
mlp512x1,bbb,val,standard,,,standard,0.01,all,mutual_information,rho_optimistic,5,-0.46870596019976796,0.08402772429413745,-0.5730401603067903,-0.3643717600927457
