comparison_id,architecture,family,seed,eval_split,train_epsilon,rob_lam,robust_config_id,standard_model_id,robust_model_id,layer,metric,standard,robust,delta
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed2_eps0p08_lam0p25.json,mlp512x1,bbb,2,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s2|val|standard,mlp512x1|bbb|s2|val|robust_eps0p08_lam0p25,0,sigma_w_median,0.17426753044128418,0.1854526400566101,0.011185109615325928
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed2_eps0p08_lam0p25.json,mlp512x1,bbb,2,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s2|val|standard,mlp512x1|bbb|s2|val|robust_eps0p08_lam0p25,1,relative_spread_mean,1.1858718395233154,9.453275680541992,8.267403841018677
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed2_eps0p08_lam0p25.json,mlp512x1,bbb,2,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s2|val|standard,mlp512x1|bbb|s2|val|robust_eps0p08_lam0p25,1,sigma_b_mean,0.012820993550121784,0.008962337858974934,-0.0038586556911468506
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed2_eps0p08_lam0p25.json,mlp512x1,bbb,2,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s2|val|standard,mlp512x1|bbb|s2|val|robust_eps0p08_lam0p25,1,sigma_w_max,0.1633893847465515,0.15367010235786438,-0.009719282388687134
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed2_eps0p08_lam0p25.json,mlp512x1,bbb,2,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s2|val|standard,mlp512x1|bbb|s2|val|robust_eps0p08_lam0p25,1,sigma_w_mean,0.023209402337670326,0.041256897151470184,0.018047494813799858
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed2_eps0p08_lam0p25.json,mlp512x1,bbb,2,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s2|val|standard,mlp512x1|bbb|s2|val|robust_eps0p08_lam0p25,1,sigma_w_median,0.019282959401607513,0.037486135959625244,0.01820317655801773
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed3_eps0p08_lam0p25.json,mlp512x1,bbb,3,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s3|val|standard,mlp512x1|bbb|s3|val|robust_eps0p08_lam0p25,0,relative_spread_mean,30699327488.0,11.930892944335938,-30699327476.069107
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed3_eps0p08_lam0p25.json,mlp512x1,bbb,3,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s3|val|standard,mlp512x1|bbb|s3|val|robust_eps0p08_lam0p25,0,sigma_b_mean,0.038882333785295486,0.09450360387563705,0.05562127009034157
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed3_eps0p08_lam0p25.json,mlp512x1,bbb,3,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s3|val|standard,mlp512x1|bbb|s3|val|robust_eps0p08_lam0p25,0,sigma_w_max,0.21908734738826752,0.20309817790985107,-0.015989169478416443
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed3_eps0p08_lam0p25.json,mlp512x1,bbb,3,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s3|val|standard,mlp512x1|bbb|s3|val|robust_eps0p08_lam0p25,0,sigma_w_mean,0.14198288321495056,0.14908051490783691,0.0070976316928863525
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed3_eps0p08_lam0p25.json,mlp512x1,bbb,3,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s3|val|standard,mlp512x1|bbb|s3|val|robust_eps0p08_lam0p25,0,sigma_w_median,0.17407523095607758,0.1860722452402115,0.011997014284133911
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed3_eps0p08_lam0p25.json,mlp512x1,bbb,3,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s3|val|standard,mlp512x1|bbb|s3|val|robust_eps0p08_lam0p25,1,relative_spread_mean,1.3449981212615967,8.467023849487305,7.122025728225708
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed3_eps0p08_lam0p25.json,mlp512x1,bbb,3,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s3|val|standard,mlp512x1|bbb|s3|val|robust_eps0p08_lam0p25,1,sigma_b_mean,0.012592276558279991,0.009039743803441525,-0.0035525327548384666
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed3_eps0p08_lam0p25.json,mlp512x1,bbb,3,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s3|val|standard,mlp512x1|bbb|s3|val|robust_eps0p08_lam0p25,1,sigma_w_max,0.2008039504289627,0.17090657353401184,-0.029897376894950867
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed3_eps0p08_lam0p25.json,mlp512x1,bbb,3,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s3|val|standard,mlp512x1|bbb|s3|val|robust_eps0p08_lam0p25,1,sigma_w_mean,0.023377031087875366,0.043324895203113556,0.01994786411523819
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed3_eps0p08_lam0p25.json,mlp512x1,bbb,3,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s3|val|standard,mlp512x1|bbb|s3|val|robust_eps0p08_lam0p25,1,sigma_w_median,0.019854096695780754,0.03973814472556114,0.019884048029780388
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed4_eps0p08_lam0p25.json,mlp512x1,bbb,4,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s4|val|standard,mlp512x1|bbb|s4|val|robust_eps0p08_lam0p25,0,relative_spread_mean,30392719360.0,8.8161039352417,-30392719351.183895
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed4_eps0p08_lam0p25.json,mlp512x1,bbb,4,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s4|val|standard,mlp512x1|bbb|s4|val|robust_eps0p08_lam0p25,0,sigma_b_mean,0.038627028465270996,0.09164290130138397,0.053015872836112976
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed4_eps0p08_lam0p25.json,mlp512x1,bbb,4,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s4|val|standard,mlp512x1|bbb|s4|val|robust_eps0p08_lam0p25,0,sigma_w_max,0.22118812799453735,0.20307281613349915,-0.018115311861038208
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed4_eps0p08_lam0p25.json,mlp512x1,bbb,4,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s4|val|standard,mlp512x1|bbb|s4|val|robust_eps0p08_lam0p25,0,sigma_w_mean,0.14182834327220917,0.147853285074234,0.006024941802024841
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed4_eps0p08_lam0p25.json,mlp512x1,bbb,4,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s4|val|standard,mlp512x1|bbb|s4|val|robust_eps0p08_lam0p25,0,sigma_w_median,0.1738075315952301,0.18527473509311676,0.011467203497886658
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed4_eps0p08_lam0p25.json,mlp512x1,bbb,4,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s4|val|standard,mlp512x1|bbb|s4|val|robust_eps0p08_lam0p25,1,relative_spread_mean,1.7094084024429321,20.497753143310547,18.788344740867615
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed4_eps0p08_lam0p25.json,mlp512x1,bbb,4,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s4|val|standard,mlp512x1|bbb|s4|val|robust_eps0p08_lam0p25,1,sigma_b_mean,0.012515803799033165,0.009017430245876312,-0.0034983735531568527
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed4_eps0p08_lam0p25.json,mlp512x1,bbb,4,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s4|val|standard,mlp512x1|bbb|s4|val|robust_eps0p08_lam0p25,1,sigma_w_max,0.1886916309595108,0.14566554129123688,-0.043026089668273926
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed4_eps0p08_lam0p25.json,mlp512x1,bbb,4,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s4|val|standard,mlp512x1|bbb|s4|val|robust_eps0p08_lam0p25,1,sigma_w_mean,0.023375585675239563,0.041226036846637726,0.017850451171398163
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed4_eps0p08_lam0p25.json,mlp512x1,bbb,4,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|bbb|s4|val|standard,mlp512x1|bbb|s4|val|robust_eps0p08_lam0p25,1,sigma_w_median,0.019562801346182823,0.03871830180287361,0.01915550045669079
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/deterministic/seed0_eps0p08_lam0p25.json,mlp512x1,deterministic,0,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|deterministic|s0|val|standard,mlp512x1|deterministic|s0|val|robust_eps0p08_lam0p25,0,relative_spread_mean,0.0,0.0,0.0
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/deterministic/seed0_eps0p08_lam0p25.json,mlp512x1,deterministic,0,val,0.08,0.25,robust_eps0p08_lam0p25,mlp512x1|deterministic|s0|val|standard,mlp512x1|deterministic|s0|val|robust_eps0p08_lam0p25,0,sigma_b_mean,0.0,0.0,0.0
