architecture,family,eval_split,training,train_epsilon,rob_lam,config_id,eval_epsilon,subset,score,task,tau,metric,n_seeds,mean,sd,ci_low,ci_high
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,predictive_entropy,pgd_failure,,auprc,5,0.5650051759834369,0.022571326708490363,0.5369791722178093,0.5930311797490645
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,all,predictive_entropy,pgd_failure,,prevalence,5,0.04,0.0,0.04,0.04
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,predictive_entropy,certified_below_threshold,0.5,auroc,0,,,,
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,predictive_entropy,certified_below_threshold,0.5,auprc,0,,,,
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,predictive_entropy,certified_below_threshold,0.5,prevalence,5,0.0,0.0,0.0,0.0
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,predictive_entropy,certified_below_threshold,0.9,auroc,0,,,,
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,predictive_entropy,certified_below_threshold,0.9,auprc,0,,,,
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,predictive_entropy,certified_below_threshold,0.9,prevalence,5,0.0,0.0,0.0,0.0
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,predictive_entropy,pgd_failure,,auroc,0,,,,
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,predictive_entropy,pgd_failure,,auprc,0,,,,
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.01,clean_correct,predictive_entropy,pgd_failure,,prevalence,5,0.0,0.0,0.0,0.0
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,expected_entropy,certified_below_threshold,0.5,auroc,5,0.8828033456675918,0.05471467499501682,0.8148661035528597,0.9507405877823238
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,expected_entropy,certified_below_threshold,0.5,auprc,5,0.646104077082338,0.08593932030368098,0.5393963170311555,0.7528118371335204
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,expected_entropy,certified_below_threshold,0.5,prevalence,5,0.05240816326530612,0.010969648786642656,0.03878754529399233,0.06602878123661991
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,expected_entropy,certified_below_threshold,0.9,auroc,5,0.8862318840579709,0.04931975780638176,0.8249933163896577,0.9474704517262842
