architecture,family,eval_split,train_epsilon,rob_lam,robust_config_id,outcome_group,eval_epsilon,metric,n_seeds,mean,sd,ci_low,ci_high
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,certification,0.08,mean_net_frac_unsafe,5,-0.404,0.04335896677735762,-0.45783726804675806,-0.350162731953242
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,certification,0.08,mean_p_safe_lower,5,0.7327392687033034,0.0262934246891022,0.7000916698773632,0.7653868675292437
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,certification,0.08,mean_p_safe_point,5,0.7953832413150005,0.02627593642437987,0.762757357037757,0.8280091255922439
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,certification,0.08,mean_p_safe_upper,5,0.7678044852234454,0.03212521532478427,0.7279157619201169,0.8076932085267738
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,certification,0.08,mean_property_evaluations,5,-7.687999999999997,8.74264948399511,-18.54343311319144,3.167433113191448
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,certification,0.08,mean_unknown_frac,5,0.03914381553385078,0.04847673092562092,-0.021047996007103748,0.09933562707480531
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,certification,0.08,median_p_safe_point,5,1.0,0.0,1.0,1.0
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,pgd,0.08,accuracy,5,0.31320000000000003,0.009059525373881336,0.3019511135024381,0.324448886497562
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,pgd,0.08,brier,5,-0.4718111872673035,0.011755083835533166,-0.486407051661752,-0.45721532287285493
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,pgd,0.08,ece,5,-0.220805668912828,0.011256429927089938,-0.234782372701599,-0.206828965124057
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,pgd,0.08,ece_adaptive,5,-0.22160540665984155,0.010198736894704746,-0.23426881108914888,-0.20894200223053422
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,pgd,0.08,mc_samples,5,0.0,0.0,0.0,0.0
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,pgd,0.08,mean_confidence,5,0.0916279153409643,0.0027033169232484554,0.08827130404163172,0.09498452664029688
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,pgd,0.08,mean_mutual_information,5,-0.08636689756633162,0.0025761866490986943,-0.08956565578117066,-0.08316813935149257
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,pgd,0.08,mean_predictive_entropy,5,-0.1740373833917794,0.005591148714537225,-0.18097971145922354,-0.16709505532433527
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,pgd,0.08,n,5,0.0,0.0,0.0,0.0
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,pgd,0.08,nll,5,-0.8099582076072693,0.0444686579188587,-0.8651733391935549,-0.7547430760209838
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,certification,0.1,frac_p_safe_lower_geq_0p5,5,0.5840000000000001,0.026076809620810566,0.5516213643058261,0.6163786356941741
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,certification,0.1,frac_p_safe_point_geq_0p9,5,0.56,0.028284271247461867,0.5248804386765968,0.5951195613234033
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,certification,0.1,mean_interval_width,5,0.24542588367961304,0.033362209752775464,0.20400122892906924,0.28685053843015684
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,certification,0.1,mean_net_frac_safe,5,0.7,0.04472135954999579,0.6444710978960441,0.7555289021039558
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,certification,0.1,mean_net_frac_unsafe,5,-0.6,0.042426406871192854,-0.6526793419851049,-0.547320658014895
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,certification,0.1,mean_p_safe_lower,5,0.5428334909830381,0.01931245507093677,0.5188539108045283,0.566813071161548
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,certification,0.1,mean_p_safe_point,5,0.5909162966704155,0.02145253095961199,0.5642794613075136,0.6175531320333173
mlp512x1,bbb,val,0.08,0.25,robust_eps0p08_lam0p25,certification,0.1,mean_p_safe_upper,5,0.7882593746626512,0.017846028720820577,0.7661006032890979,0.8104181460362044
