level,file,check,detail
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed0_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.05: MAE=0.0183"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed0_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.07: MAE=0.0109"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed0_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.08: MAE=0.0144"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed0_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.1: MAE=0.00532"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed0_eps0p08_lam0p25.json,unknown_mass_identity,"robust, eps=0.01: MAE=1.68e-05"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed0_eps0p08_lam0p25.json,unknown_mass_identity,"robust, eps=0.05: MAE=0.000392"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed0_eps0p08_lam0p25.json,unknown_mass_identity,"robust, eps=0.07: MAE=0.00179"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed0_eps0p08_lam0p25.json,unknown_mass_identity,"robust, eps=0.08: MAE=0.00145"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed0_eps0p08_lam0p25.json,unknown_mass_identity,"robust, eps=0.1: MAE=0.00572"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed1_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.01: MAE=0.00189"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed1_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.05: MAE=0.0139"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed1_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.07: MAE=0.011"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed1_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.08: MAE=0.00941"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed1_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.1: MAE=0.0032"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed1_eps0p08_lam0p25.json,unknown_mass_identity,"robust, eps=0.01: MAE=3.26e-05"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed1_eps0p08_lam0p25.json,unknown_mass_identity,"robust, eps=0.05: MAE=0.000324"
