comparison_id,architecture,family,seed,eval_split,train_epsilon,rob_lam,robust_config_id,eval_epsilon,subset,score,task,tau,auroc_standard,auroc_robust,delta_auroc,auprc_standard,auprc_robust,delta_auprc,prevalence_standard,prevalence_robust
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,expected_entropy,pgd_failure,,0.9777777777777779,0.9787234042553191,0.0009456264775412615,0.7555555555555555,0.5,-0.25555555555555554,0.0625,0.020833333333333332
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,expected_entropy,certified_below_threshold,0.5,,1.0,,,1.0,,1.0,0.02127659574468085
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,expected_entropy,certified_below_threshold,0.9,,1.0,,,1.0,,1.0,0.02127659574468085
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,mutual_information,pgd_failure,,0.9688888888888889,0.9361702127659575,-0.032718676122931445,0.8253968253968254,0.75,-0.07539682539682535,0.1,0.06
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,mutual_information,certified_below_threshold,0.5,,0.9420289855072463,,,0.7575757575757576,,1.0,0.061224489795918366
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,mutual_information,certified_below_threshold,0.9,,0.9420289855072463,,,0.7575757575757576,,1.0,0.061224489795918366
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,mutual_information,pgd_failure,,0.9481481481481482,1.0,0.051851851851851816,0.6095238095238096,1.0,0.3904761904761904,0.0625,0.020833333333333332
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,mutual_information,certified_below_threshold,0.5,,1.0,,,1.0,,1.0,0.02127659574468085
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,mutual_information,certified_below_threshold,0.9,,1.0,,,1.0,,1.0,0.02127659574468085
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,one_minus_confidence,pgd_failure,,0.991111111111111,0.9219858156028369,-0.06912529550827418,0.9266666666666665,0.6324786324786325,-0.2941880341880341,0.1,0.06
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,one_minus_confidence,certified_below_threshold,0.5,,0.9347826086956522,,,0.75,,1.0,0.061224489795918366
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,one_minus_confidence,certified_below_threshold,0.9,,0.9347826086956522,,,0.75,,1.0,0.061224489795918366
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,one_minus_confidence,pgd_failure,,0.9851851851851852,0.9787234042553191,-0.006461780929866046,0.8055555555555556,0.5,-0.3055555555555556,0.0625,0.020833333333333332
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,one_minus_confidence,certified_below_threshold,0.5,,1.0,,,1.0,,1.0,0.02127659574468085
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,one_minus_confidence,certified_below_threshold,0.9,,1.0,,,1.0,,1.0,0.02127659574468085
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,predictive_entropy,pgd_failure,,0.9866666666666667,0.9148936170212766,-0.07177304964539011,0.9028571428571428,0.626984126984127,-0.2758730158730158,0.1,0.06
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,predictive_entropy,certified_below_threshold,0.5,,0.927536231884058,,,0.7435897435897436,,1.0,0.061224489795918366
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,predictive_entropy,certified_below_threshold,0.9,,0.927536231884058,,,0.7435897435897436,,1.0,0.061224489795918366
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,predictive_entropy,pgd_failure,,0.9777777777777779,0.9787234042553191,0.0009456264775412615,0.7555555555555555,0.5,-0.25555555555555554,0.0625,0.020833333333333332
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,predictive_entropy,certified_below_threshold,0.5,,1.0,,,1.0,,1.0,0.02127659574468085
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,predictive_entropy,certified_below_threshold,0.9,,1.0,,,1.0,,1.0,0.02127659574468085
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.07,all,expected_entropy,pgd_failure,,0.7942857142857143,0.8097826086956521,0.015496894409937845,0.6610628985737345,0.5072751322751323,-0.15378776629860214,0.3,0.08
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.07,all,expected_entropy,certified_below_threshold,0.5,,0.8255813953488373,,,0.5993589743589743,,1.0,0.0851063829787234
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.07,all,expected_entropy,certified_below_threshold,0.9,,0.8048780487804879,,,0.540537084398977,,1.0,0.10869565217391304
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.07,clean_correct,expected_entropy,pgd_failure,,0.7626373626373626,0.7391304347826086,-0.023506927854753945,0.5508838625631444,0.29,-0.2608838625631444,0.2708333333333333,0.041666666666666664
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.07,clean_correct,expected_entropy,certified_below_threshold,0.5,,0.7674418604651163,,,0.5454545454545454,,1.0,0.044444444444444446
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.07,clean_correct,expected_entropy,certified_below_threshold,0.9,,0.7479674796747968,,,0.4253968253968254,,1.0,0.06818181818181818
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.07,all,mutual_information,pgd_failure,,0.779047619047619,0.8423913043478262,0.06334368530020718,0.6194989396568344,0.6041666666666666,-0.015332272990167817,0.3,0.08
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.07,all,mutual_information,certified_below_threshold,0.5,,0.8488372093023255,,,0.6136363636363636,,1.0,0.0851063829787234
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.07,all,mutual_information,certified_below_threshold,0.9,,0.8439024390243902,,,0.5691575091575092,,1.0,0.10869565217391304
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.07,clean_correct,mutual_information,pgd_failure,,0.7450549450549451,0.782608695652174,0.037553750597228874,0.49373492176035744,0.5454545454545454,0.05171962369418798,0.2708333333333333,0.041666666666666664
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.07,clean_correct,mutual_information,certified_below_threshold,0.5,,0.7906976744186046,,,0.55,,1.0,0.044444444444444446
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.07,clean_correct,mutual_information,certified_below_threshold,0.9,,0.7967479674796748,,,0.44657097288676234,,1.0,0.06818181818181818
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed0_eps0p08_lam0p25.json,mlp512x1,bbb,0,val,0.08,0.25,robust_eps0p08_lam0p25,0.07,all,one_minus_confidence,pgd_failure,,0.7942857142857142,0.8152173913043479,0.020931677018633743,0.6618358454336379,0.5113960113960114,-0.1504398340376265,0.3,0.08
